Access see Market access, EconomicOperand
leximetrics, EconomicOperand
macro-prudential supervision, EconomicOperand
IMF initiatives, EconomicOperand
need for strong framework, EconomicOperand
regional and domestic perspectives, EconomicOperand
main supervisory models, EconomicOperand
fuzziness in practice, EconomicOperand
integrated supervision, EconomicOperand
overview, EconomicOperand
‘twin peaks’ supervision, EconomicOperand
need for clear and unambiguous mandate, EconomicOperand
public character of supervision, EconomicOperand
regulatory approaches, EconomicOperand
integrated regulation, EconomicOperand
retail markets, EconomicOperand
role of central bank, EconomicOperand
self-regulation, EconomicOperand
advantages, EconomicOperand
disadvantages, EconomicOperand
‘enrolment’ within public system, EconomicOperand
significance of design, EconomicOperand
trading practice regulation, EconomicOperand
transparency, EconomicOperand
UK approaches, EconomicOperand
self-regulation with statutory mandate, EconomicOperand
‘twin peaks’ supervision, EconomicOperand
US regulatory systems, EconomicOperand
activity-based approach, EconomicOperand
lead regulator model, EconomicOperand
overview, EconomicOperand
single regulator model , EconomicOperand
‘twin peaks’ supervision , EconomicOperand
Insurance, EconomicOperand
current approach to regulation, EconomicOperand
distinctive features, EconomicOperand
economic and social purpose, EconomicOperand
information asymmetry, EconomicOperand
irresistible impetus for regulation, EconomicOperand
liberalization tensions, EconomicOperand
effect of single market, EconomicOperand
first-generation integration, EconomicOperand
illustrations of integration failure, EconomicOperand
judicial activism, EconomicOperand
Single European Insurance Passport, EconomicOperand
micro-prudential regulation, EconomicOperand
investment restrictions, EconomicOperand
tools other than capital, EconomicOperand
policy development as private contract, EconomicOperand
post-crisis EU supervision regime, EconomicOperand
overview, EconomicOperand
preparing for Solvency II, EconomicOperand
supervision within ESFS, EconomicOperand
preparing for Solvency II, EconomicOperand
core prudential requirements, EconomicOperand
governance requirements, EconomicOperand
overview, EconomicOperand
socialized market operations, EconomicOperand
effect of fractured regulatory enterprise, EconomicOperand
emergence of behavioural economics, EconomicOperand
risk above uncertainty, EconomicOperand
sense of public ownership, EconomicOperand
supervision within ESFS, EconomicOperand
efficiency and efficacy concerns, EconomicOperand
institutional uncertainty, EconomicOperand
overview, EconomicOperand
three supervisory challenges of modernization, EconomicOperand
US reform White Paper, EconomicOperand
Integrated supervision, EconomicOperand
defining characteristics, EconomicOperand
Germany, EconomicOperand
popularity in s and s,, EconomicOperand
Integrity see Market integrity; Market transparency and integrity, EconomicOperand
International Monetary Fund (IMF), EconomicOperand
Asian bail-outs, EconomicOperand
coercion behind the new system, EconomicOperand
history and development of market access and licensing, EconomicOperand
information disclosure, EconomicOperand
involvement in regulatory role, EconomicOperand
macro-prudential supervision, EconomicOperand
need for strong framework, EconomicOperand
objectives, EconomicOperand
regional and domestic perspectives, EconomicOperand
measuring enforcement, EconomicOperand
risk-based approaches, EconomicOperand
surveillance mechanisms, EconomicOperand
International regulation, EconomicOperand
see also European Union (EU), EconomicOperand
challenges facing regulators, EconomicOperand
deglobalization of finance, EconomicOperand
dispute resolution, EconomicOperand
alternative approaches compared, EconomicOperand
importance in international finance, EconomicOperand
overview, EconomicOperand
WTO mechanisms, EconomicOperand
enforcement, EconomicOperand
cross-border cooperation, EconomicOperand
jurisdictional and extraterritorial enforcement, EconomicOperand
role of ‘soft law’, EconomicOperand
history and development of market access and licensing, EconomicOperand
impact of various crises, EconomicOperand
cross-border crisis in s,, EconomicOperand
fall-out from Asian crisis of, EconomicOperand
Global Financial Crisis (GFC), EconomicOperand
macro-prudential supervision, EconomicOperand
origins and development, EconomicOperand
post-trading infrastructures, EconomicOperand
regulatory approaches and standards , EconomicOperand
Investment advisers, EconomicOperand
conflicts of interest, EconomicOperand
duty of care, EconomicOperand
examinations, EconomicOperand
fee structure, EconomicOperand
financial crisis, EconomicOperand
mandatory arbitration clauses, use of, EconomicOperand
regulatory oversight, EconomicOperand
regulatory regime, EconomicOperand
UK market, EconomicOperand
US COB obligations versus broker-dealers , EconomicOperand
US regulatory regime on, EconomicOperand
Investment bank, EconomicOperand
capital requirements directive (CRD) IV, EconomicOperand
gatekeepers, EconomicOperand
investment restrictions on banks, EconomicOperand
regulatory dividend, EconomicOperand
systemic risks, EconomicOperand
Investment firms, EconomicOperand
advice to client, EconomicOperand
algorithmic trading, EconomicOperand
capital requirements directive (CRD) IV, EconomicOperand
duty of loyalty, EconomicOperand
EU harmonized rule book, EconomicOperand
MiFID I, EconomicOperand
public disclosure, EconomicOperand
suitability duty on, EconomicOperand
US retail investment market, EconomicOperand
Investment services, EconomicOperand
MiFID I governing trade execution services, EconomicOperand
provision regulated by EU Member States, EconomicOperand
UK retail core services, EconomicOperand
Investor protection, EconomicOperand
see also Conduct of business regulation; Consumer protection; Gatekeepers, EconomicOperand
China, EconomicOperand
deposit insurance, EconomicOperand
macro-regulation of banks, EconomicOperand
equity markets, EconomicOperand
Germany, EconomicOperand
Japan, EconomicOperand
United Kingdom, EconomicOperand
European Union (EU),, EconomicOperand
importance,, EconomicOperand
Korea, EconomicOperand
mandatory disclosure, EconomicOperand
moral hazard problems, EconomicOperand
regulation of retail markets, EconomicOperand
trading practices, EconomicOperand
Ireland, EconomicOperand
banking system,, EconomicOperand
principles-based regulation, EconomicOperand
risk-based approaches, EconomicOperand
Italy, EconomicOperand
market abuse, EconomicOperand
shareholder protection, EconomicOperand
Japan, EconomicOperand
consensus-based system, EconomicOperand
equity market, EconomicOperand
absence of relation between regulation and development, EconomicOperand
dispersal of share ownership, EconomicOperand
history and development, EconomicOperand
investor protection, EconomicOperand
role of business coordinators, EconomicOperand
high growth era, EconomicOperand
informal public enforcement, EconomicOperand
shareholder protection, EconomicOperand
Judgment-based regulation, EconomicOperand
Judicial activism, EconomicOperand
Kenya, EconomicOperand
enforcement trends, EconomicOperand
mobile money, EconomicOperand
Korea, EconomicOperand
emergence as major force, EconomicOperand
equity market, EconomicOperand
investor protection, EconomicOperand
move away from functional and institutional models, EconomicOperand
Lamfalussy process, EconomicOperand
insurance regulation,,,, EconomicOperand
orchestration of EU institutional regulation,,, EconomicOperand
Law, EconomicOperand
conceptual framework of EU, EconomicOperand
enforcement, EconomicOperand
international enforcement, EconomicOperand
leximetrics, EconomicOperand
early studies, EconomicOperand
quantification of legal rules (leximetrics), EconomicOperand
influence on policy, EconomicOperand
role of institutions, EconomicOperand
role of legal rules, EconomicOperand
‘cognitive resource’, EconomicOperand
domain-specific nature, EconomicOperand
effect of public sanctions, EconomicOperand
interaction with emerging financial markets, EconomicOperand
mutability and variability, EconomicOperand
on transaction costs, EconomicOperand
rulemaking for retail markets, EconomicOperand
timing and source of legal rules, EconomicOperand
Legal origin hypothesis, EconomicOperand
Lenders of last resort, EconomicOperand
Leximetrics, EconomicOperand
early studies, EconomicOperand
influence on policy, EconomicOperand
role of institutions, EconomicOperand
Liability risk see Litigation risk, EconomicOperand
Licensing, EconomicOperand
Literacy see Financial literacy, EconomicOperand
Litigation risk, EconomicOperand
gatekeepers, EconomicOperand
mandatory disclosure, EconomicOperand
Macro-prudential regulation, EconomicOperand
bank capital, EconomicOperand
conflict with micro-regulatory objectives, EconomicOperand
institutional arrangements, EconomicOperand
management of systemic risk, EconomicOperand
mechanisms and tools, EconomicOperand
structural and cyclical tools distinguished, EconomicOperand
meaning and scope, EconomicOperand
multilateral coordination, EconomicOperand
objectives,, EconomicOperand
policy issues, EconomicOperand
hierarchy or co-existence, EconomicOperand
shadow banking , EconomicOperand
tensions between micro-and macro-prudential regulation, EconomicOperand
policy toolkit, EconomicOperand
reform of Basel III, EconomicOperand
reform of FMIs, EconomicOperand
risk reduction tools, EconomicOperand
deposit insurance, EconomicOperand
disclosure, EconomicOperand
mandatory central clearing, EconomicOperand
structural prudential regulation, EconomicOperand
tensions with micro-prudential regulation, EconomicOperand
credit risk transfer (CRT), EconomicOperand
highly liquid assets, EconomicOperand
stress-testing, EconomicOperand
uniformity, EconomicOperand
Management-based regulation, EconomicOperand
‘new governance’, EconomicOperand
relationship between states and markets, EconomicOperand
UK approach, EconomicOperand
key aspect of FSA approach, EconomicOperand
‘regulatory dividend’, EconomicOperand
‘twin peaks’ supervision, EconomicOperand
Mandates, EconomicOperand
key part of accountability framework, EconomicOperand
need for clear and unambiguous mandate, EconomicOperand
Mandatory disclosure, EconomicOperand
core function, EconomicOperand
expansive tendency, EconomicOperand
goals, EconomicOperand
agency costs, EconomicOperand
importance, EconomicOperand
investor protection, EconomicOperand
price formation, EconomicOperand
limits and drawbacks, EconomicOperand
behavioural analysis, EconomicOperand
ex ante planning, EconomicOperand
fixed costs, EconomicOperand
litigation risk, EconomicOperand
overview, EconomicOperand
policy, EconomicOperand
users, EconomicOperand
rationales, EconomicOperand
agency problems, EconomicOperand
externalities, EconomicOperand
information as public good, EconomicOperand
standardization, EconomicOperand
Market abuse, EconomicOperand
conduct which raises market concerns, EconomicOperand
enforcement, EconomicOperand
European Union (EU), EconomicOperand
evolving regulatory landscape, EconomicOperand
European Union (EU), EconomicOperand
overview, EconomicOperand
United States, EconomicOperand
extent of problem, EconomicOperand
rationales for regulation, EconomicOperand
insider trading, EconomicOperand
market manipulation, EconomicOperand
Market access, EconomicOperand
absence of a formal mechanism in finance, EconomicOperand
EU harmonization,, EconomicOperand
first generation EU integration, EconomicOperand
history and development of cross-border regulation, EconomicOperand
intermediaries, EconomicOperand
pressure on other jurisdictions, EconomicOperand
professional traders, EconomicOperand
Single European Insurance Passport, EconomicOperand
Market efficiency, EconomicOperand
basic characteristic of US regulatory system, EconomicOperand
design challenge for retail regulation, EconomicOperand
efficient capital market hypothesis (ECMH), EconomicOperand
default view of financial economics, EconomicOperand
development of original hypothesis, EconomicOperand
early work by Fama, EconomicOperand
regulatory overview, EconomicOperand
susceptibility to empirical testing, EconomicOperand
why systems are crisis-prone, EconomicOperand
European Union (EU), EconomicOperand
evolutionary models, EconomicOperand
financial innovation, EconomicOperand
insurance, EconomicOperand
liberalization tensions, EconomicOperand
supervision within ESFS, EconomicOperand
purpose of regulation, EconomicOperand
trading practices , EconomicOperand
Market fragmentation, EconomicOperand
dark pools, EconomicOperand
effect of competition, EconomicOperand
international principles, EconomicOperand
opportunities for abuse, EconomicOperand
trading practices, EconomicOperand
Market integrity, EconomicOperand
adverse effects of fragmentation, EconomicOperand
Australia, EconomicOperand
enforcement, EconomicOperand
EU transparency rules,, EconomicOperand
evolving regulatory landscape, EconomicOperand
European Union (EU), EconomicOperand
overview, EconomicOperand
United States, EconomicOperand
investor protection, EconomicOperand
market abuse, EconomicOperand
conduct which raises market concerns, EconomicOperand
extent of problem, EconomicOperand
rationales for regulation, EconomicOperand
overview, EconomicOperand
rationales for regulation of abuse, EconomicOperand
insider trading, EconomicOperand
market manipulation, EconomicOperand
renewed interest since GFC, EconomicOperand
role of self-regulation, EconomicOperand
trading practices,, EconomicOperand
US Blueprint, EconomicOperand
Market transparency see Transparency, EconomicOperand
Methodology, EconomicOperand
see also Theories, EconomicOperand
emergence of new methods post financial crisis, EconomicOperand
leximetrics, EconomicOperand
early studies, EconomicOperand
influence on policy, EconomicOperand
role of institutions, EconomicOperand
macro-prudential supervision, EconomicOperand
measurement and specification of agency costs, EconomicOperand
Solvency II regulatory methodologies, EconomicOperand
time-series econometrics, EconomicOperand
cointegrated vector autoregression (CVAR), EconomicOperand
data-coding, EconomicOperand
shareholder protection, EconomicOperand
Micro-prudential regulation, EconomicOperand
altering incentives, EconomicOperand
banks, EconomicOperand
non-bank institutions, EconomicOperand
bank capital, EconomicOperand
banks and banking, EconomicOperand
conflict with macro-regulatory objectives, EconomicOperand
control within EU, EconomicOperand
impact of GFC, EconomicOperand
objectives, EconomicOperand
policy issues, EconomicOperand
hierarchy or co-existence, EconomicOperand
shadow banking , EconomicOperand
tensions between micro-and macro-prudential regulation, EconomicOperand
reduction of individual risk, EconomicOperand
reform of FMIs, EconomicOperand
strong paternalistic interventions, EconomicOperand
investment restrictions, EconomicOperand
making financial institutions more sophisticated, EconomicOperand
tensions with macro-prudential regulation, EconomicOperand
credit risk transfer (CRT), EconomicOperand
highly liquid assets, EconomicOperand
stress-testing, EconomicOperand
uniformity, EconomicOperand
tools other than capital, EconomicOperand
corporate governance (banks), EconomicOperand
non-bank institutions, EconomicOperand
risk culture, EconomicOperand
risk management (banks), EconomicOperand
Mobile money, EconomicOperand
Moral hazard, EconomicOperand
bailouts, EconomicOperand
bank bailouts, EconomicOperand
gatekeepers, EconomicOperand
government-banking sector partnership, EconomicOperand
regulators acting as lender of last resort, EconomicOperand
systemic risk, EconomicOperand
why systems are crisis-prone, EconomicOperand
Mortgage-lending practices, EconomicOperand
Netherlands, EconomicOperand
regulation of retail markets, EconomicOperand
risk-based approaches, EconomicOperand
‘Nudge’ theory, EconomicOperand
Objectives supervision see ‘Twin peaks’ supervision, EconomicOperand
OTC trading, EconomicOperand
cause of systemic risk, EconomicOperand
conflicts in clearing and settlement requirements, EconomicOperand
crisis-era imposition of infrastructures, EconomicOperand
EU regulation, EconomicOperand
international regulation, EconomicOperand
link betweenCrash and the s debt crisis, EconomicOperand
mandatory central clearing, EconomicOperand
new margin requirements, EconomicOperand
post-trade transparency requirements, EconomicOperand
regulation after, EconomicOperand
risk to stability, EconomicOperand
transparency requirements, EconomicOperand
US approach, EconomicOperand
Outcomes-focused regulation, EconomicOperand
see also Principles-based regulation, EconomicOperand
compliance with the TCF requirements, EconomicOperand
measurement of impact of different outcomes, EconomicOperand
relationship between states and markets, EconomicOperand
required supervisory approach, EconomicOperand
shift in rhetoric, EconomicOperand
terminology, EconomicOperand
UK approach, EconomicOperand
Policy, EconomicOperand
ascendancy of objectives supervision, EconomicOperand
complex factors shaping regulation, EconomicOperand
consumer protection, EconomicOperand
as protected investors, EconomicOperand
as well-informed investors or consumers, EconomicOperand
cyclical movement, EconomicOperand
development of institutions, EconomicOperand
endogenous to financial cycle, EconomicOperand
financial market infrastructures (FMIs), EconomicOperand
impact of financial crises, EconomicOperand
bank capital requirements, EconomicOperand
capital controls, EconomicOperand
governance theory, EconomicOperand
overview, EconomicOperand
regulators acting as lender of last resort, EconomicOperand
impact of GFC, EconomicOperand
insurance as private contract, EconomicOperand
macro-prudential supervision, EconomicOperand
mandatory disclosure, EconomicOperand
market fragmentation, EconomicOperand
prudential-related regulation, EconomicOperand
hierarchy or co-existence, EconomicOperand
shadow banking , EconomicOperand
tensions between micro-and macro-prudential regulation, EconomicOperand
quantification of legal rules (leximetrics), EconomicOperand
transparency and disclosure, EconomicOperand
US housing as cause of GFC, EconomicOperand
Post-trading infrastructures, EconomicOperand
international regulation, EconomicOperand
systemic impact, EconomicOperand
Price formation, EconomicOperand
efficient capital market hypothesis (ECMH), EconomicOperand
evolutionary models of market efficiency, EconomicOperand
general focus on equilibria from middle of twentieth century, EconomicOperand
macro-prudential supervision, EconomicOperand
mandatory disclosure, EconomicOperand
market efficiency within EU, EconomicOperand
market manipulation, EconomicOperand
moral hazard problems, EconomicOperand
trading practices, EconomicOperand
algorithmic trading, EconomicOperand
appropriate level of regulation, EconomicOperand
market efficiency , EconomicOperand
market fragmentation, EconomicOperand
short selling, EconomicOperand
Walras’ models of equilibria, EconomicOperand
Principles-based regulation, EconomicOperand
see also Outcomes-focused regulation, EconomicOperand
abandonment of ‘light-touch’ approach, EconomicOperand
basis of the CFTC’s regulatory approach, EconomicOperand
diffusion of TCF, EconomicOperand
enforcement tools, EconomicOperand
globalization, EconomicOperand
relationship between states and markets, EconomicOperand
terminology, EconomicOperand
trading rules, EconomicOperand
UK approach, EconomicOperand
key aspect of FSA approach, EconomicOperand
‘regulatory dividend’, EconomicOperand
‘schizophrenic’ development, EconomicOperand
Treating Customers Fairly initiative compared, EconomicOperand
‘twin peaks’ supervision, EconomicOperand
Product intervention, EconomicOperand
design challenge for retail regulation, EconomicOperand
post-GFC reform, EconomicOperand
regulatory tool, EconomicOperand
Prudential-related regulation, EconomicOperand
conflict between micro-and macro-regulatory objectives, EconomicOperand
impact of GFC, EconomicOperand
insurance and preparations for Solvency II, EconomicOperand
macro-prudential regulation, EconomicOperand
bank capital, EconomicOperand
conflict with micro-regulatory objectives, EconomicOperand
institutional arrangements, EconomicOperand
management of systemic risk, EconomicOperand
meaning and scope, EconomicOperand
multilateral coordination, EconomicOperand
objectives,, EconomicOperand
policy issues , EconomicOperand
policy toolkit, EconomicOperand
reform of Basel III, EconomicOperand
reform of FMIs, EconomicOperand
risk reduction tools, EconomicOperand
tensions with micro-prudential regulation, EconomicOperand
micro-prudential regulation, EconomicOperand
altering incentives, EconomicOperand
bank capital, EconomicOperand
banks and banking, EconomicOperand
conflict with macro-regulatory objectives , EconomicOperand
control within EU, EconomicOperand
impact of GFC, EconomicOperand
objectives, EconomicOperand
policy issues , EconomicOperand
reduction of individual risk, EconomicOperand
reform of FMIs, EconomicOperand
strong paternalistic interventions, EconomicOperand
tensions with macro-prudential regulation , EconomicOperand
tools other than capital, EconomicOperand
objectives, EconomicOperand
consumer protection, EconomicOperand
financial stability, EconomicOperand
policy issues, EconomicOperand
hierarchy or co-existence, EconomicOperand
shadow banking , EconomicOperand
tensions between micro-and macro-prudential regulation, EconomicOperand
reform of FMIs, EconomicOperand
risk reduction tools, EconomicOperand
deposit insurance, EconomicOperand
disclosure, EconomicOperand
mandatory central clearing, EconomicOperand
structural prudential regulation, EconomicOperand
shadow banking, EconomicOperand
effectiveness , EconomicOperand
meaning and scope, EconomicOperand
universal call for regulation, EconomicOperand
structural prudential regulation, EconomicOperand
current separation models, EconomicOperand
effectiveness, EconomicOperand
permissible scope of business activities, EconomicOperand
UK approach, EconomicOperand
United States, EconomicOperand
objectives, EconomicOperand
Treasury Blueprint for a modernized structure, EconomicOperand
Public good, EconomicOperand
financial stability,, EconomicOperand
mandatory disclosure, EconomicOperand
Reputations, EconomicOperand
auditors, EconomicOperand
‘financial citizens’, EconomicOperand
gatekeepers, EconomicOperand
effect of lack of competition, EconomicOperand
‘hard-wiring’ of CRAs into regulatory system, EconomicOperand
importance, EconomicOperand
inadequate constraining factor, EconomicOperand
Retail markets, EconomicOperand
alternative regulatory strategies, EconomicOperand
design challenges,, EconomicOperand
information asymmetry, EconomicOperand
investor empowerment, EconomicOperand
investor protection, EconomicOperand
origins of regulation, EconomicOperand
overview, EconomicOperand
regulation of, EconomicOperand
alternative strategies, EconomicOperand
cognate scholarship, EconomicOperand
design challenge, EconomicOperand
disclosure regulation, EconomicOperand
distinctive challenges, EconomicOperand
distribution regulation, EconomicOperand
information asymmetry, EconomicOperand
investor empowerment, EconomicOperand
investor protection, EconomicOperand
origins, EconomicOperand
overview, EconomicOperand
product-related intervention, EconomicOperand
regulatory tools, EconomicOperand
rulemaking governance, EconomicOperand
regulatory tools, EconomicOperand
disclosure, EconomicOperand
distribution, EconomicOperand
product intervention, EconomicOperand
rulemaking governance, EconomicOperand
Risk, EconomicOperand
see also Moral hazard, EconomicOperand
agency cost theories, EconomicOperand
cause of bank bailouts, EconomicOperand
compliance strategies, EconomicOperand
conduct of business regulation, EconomicOperand
international comparisons, EconomicOperand
United States, EconomicOperand
consumer biases, EconomicOperand
culture, EconomicOperand
financial innovation, EconomicOperand
approach to risk, EconomicOperand
financialization and capital allocation efficiency, EconomicOperand
flawed uses of innovation, EconomicOperand
‘perverse incentives’, EconomicOperand
relationship to, EconomicOperand
shadow banking, EconomicOperand
insurance, EconomicOperand
irresistible impetus for regulation, EconomicOperand
socialized market operations, EconomicOperand
supervisory challenges of modernization, EconomicOperand
key part of financial system , EconomicOperand
litigation risk, EconomicOperand
gatekeepers, EconomicOperand
mandatory disclosure, EconomicOperand
OTC trading, EconomicOperand
retail marketing, EconomicOperand
retention of investment risk, EconomicOperand
systemic risk, EconomicOperand
see also Financial stability, EconomicOperand
causes, EconomicOperand
changes in way subject tackled, EconomicOperand
control within EU, EconomicOperand
ex ante planning, EconomicOperand
impact of GFC, EconomicOperand
importance of bank capital,, EconomicOperand
macro-prudential regulation,, EconomicOperand
meaning and scope, EconomicOperand
moral hazard, EconomicOperand
objective of prudential regulation, EconomicOperand
post-trading infrastructures, EconomicOperand
reform of FMIs, EconomicOperand
role of gatekeepers, EconomicOperand
‘too-big-to’ problems (TBT),, EconomicOperand
Risk-based regulation, EconomicOperand
Basel II, EconomicOperand
BCBS enhancement, EconomicOperand
challenges facing regulators, EconomicOperand
economic capital management, EconomicOperand
globalization, EconomicOperand
increase in capital requirements,,,,, EconomicOperand
international perspectives, EconomicOperand
overall utility of the risk-based capital regime, EconomicOperand
preparing for Solvency II, EconomicOperand
pricing of deposit insurance, EconomicOperand
UK approach, EconomicOperand
banks and banking, EconomicOperand
complex and self-contradictory strategy, EconomicOperand
development of ARROW, EconomicOperand
focus on conduct issues, EconomicOperand
FSA initiative, EconomicOperand
low priority to prudential issues, EconomicOperand
OECD Recommendation, EconomicOperand
significant development over time, EconomicOperand
‘twin peaks’ supervision, EconomicOperand
Sanctions, EconomicOperand
see also Enforcement, EconomicOperand
binding force of legal rules,, EconomicOperand
discounts , EconomicOperand
Dispute Settlement Body (DSB),, EconomicOperand
importance, EconomicOperand
market abuse, EconomicOperand
prudential-related regulation, EconomicOperand
range of sanctions, EconomicOperand
responsibility for regulatory contraventions, EconomicOperand
sanctions, EconomicOperand
settlements , EconomicOperand
US treaty enforcement, EconomicOperand
Self-regulation, EconomicOperand
advantages, EconomicOperand
disadvantages, EconomicOperand
‘enrolment’ within public system, EconomicOperand
trading practices,, EconomicOperand
UK approaches, EconomicOperand
self-regulation with statutory mandate, EconomicOperand
US regulatory strategy, EconomicOperand
Settlements , EconomicOperand
Shadow banking, EconomicOperand
contagion, EconomicOperand
defined, EconomicOperand
disaggregation of banks, EconomicOperand
effectiveness of regulation , EconomicOperand
failure of Basel II or III to address, EconomicOperand
indicative list of activities, EconomicOperand
link betweenCrash and the s debt crisis, EconomicOperand
liquidity runs, EconomicOperand
main function, EconomicOperand
meaning and scope, EconomicOperand
objective, EconomicOperand
overview, EconomicOperand
pure risk, EconomicOperand
regulation after, EconomicOperand
significant systemic threat, EconomicOperand
uncontrolled credit expansion, EconomicOperand
universal call for regulation, EconomicOperand
Single European Insurance Passport,, EconomicOperand
Stability see Financial stability, EconomicOperand
Standardization, EconomicOperand
rationale for mandatory disclosure, EconomicOperand
trading practices, EconomicOperand
State intervention, EconomicOperand
bailouts, EconomicOperand
consumer protection, EconomicOperand
government-banking sector partnership, EconomicOperand
creation of moral hazard, EconomicOperand
encouragement of desirable activities, EconomicOperand
impact on private banking, EconomicOperand
intended scope, EconomicOperand
insolvency, EconomicOperand
trading practices, EconomicOperand
market efficiency, EconomicOperand
underlying rationale, EconomicOperand
Structural prudential regulation, EconomicOperand
current separation models, EconomicOperand
effectiveness, EconomicOperand
permissible scope of business activities, EconomicOperand
Systemic risk, EconomicOperand
see also Financial stability, EconomicOperand
causes, EconomicOperand
changes in way subject tackled, EconomicOperand
control within EU, EconomicOperand
banks and banking, EconomicOperand
impact of GFC, EconomicOperand
macro-prudential supervision, EconomicOperand
micro-prudential supervision, EconomicOperand
ex ante planning, EconomicOperand
impact of GFC, EconomicOperand
importance of bank capital, EconomicOperand
cause ofcredit crunch, EconomicOperand
underestimate by Basel II, EconomicOperand
macro-prudential regulation, EconomicOperand
institutional arrangements, EconomicOperand
meaning and scope, EconomicOperand
mechanisms and tools, EconomicOperand
objectives, EconomicOperand
policy toolkit, EconomicOperand
structural and cyclical tools distinguished, EconomicOperand
macro-prudential supervision, EconomicOperand
multilateral coordination, EconomicOperand
meaning and scope, EconomicOperand
moral hazard, EconomicOperand
objective of prudential regulation, EconomicOperand
post-trading infrastructures, EconomicOperand
reform of FMIs, EconomicOperand
risk reduction tools, EconomicOperand
deposit insurance, EconomicOperand
disclosure, EconomicOperand
mandatory central clearing, EconomicOperand
structural prudential regulation, EconomicOperand
role of gatekeepers, EconomicOperand
‘too-big-to’ problems (TBT),, EconomicOperand
US reform White Paper, EconomicOperand
Systems see Financial systems, EconomicOperand
Take-overs, EconomicOperand
consequence of insolvency, EconomicOperand
inadequate disciplinary role, EconomicOperand
UK equity market, EconomicOperand
Taxation, EconomicOperand
insurance funding, EconomicOperand
prudential-related regulation, EconomicOperand
trading practices, EconomicOperand
types of regulatory intervention, EconomicOperand
Theories, EconomicOperand
see also Methods, EconomicOperand
behavioural analysis, EconomicOperand
emerging themes, EconomicOperand
experience-based shortcuts to decision-making, EconomicOperand
‘nudge’ theory, EconomicOperand
systematic errors in decision-making, EconomicOperand
common ‘evolutionary’ perspective, EconomicOperand
efficient capital market hypothesis (ECMH), EconomicOperand
default view of financial economics, EconomicOperand
development of original hypothesis, EconomicOperand
early work by Fama, EconomicOperand
regulatory overview, EconomicOperand
susceptibility to empirical testing, EconomicOperand
emergence of new theories post financial crisis, EconomicOperand
evolutionary models, EconomicOperand
evolutionary models of market efficiency, EconomicOperand
general focus on equilibria from middle of twentieth century, EconomicOperand
governance, EconomicOperand
Minsky’s theory of financial instability, EconomicOperand
regulation of retail markets, EconomicOperand
roadmap for optimal regulation, EconomicOperand
measurement and specification of agency costs, EconomicOperand
promotion of trust, EconomicOperand
timing and source of legal rules, EconomicOperand
role of legal rules, EconomicOperand
‘cognitive resource’, EconomicOperand
domain-specific nature, EconomicOperand
effect of public sanctions, EconomicOperand
interaction with emerging financial markets, EconomicOperand
mutability and variability, EconomicOperand
on transaction costs, EconomicOperand
Walras’ models of equilibria, EconomicOperand
why systems are crisis-prone, EconomicOperand
agency costs, EconomicOperand
efficient capital market hypothesis (ECMH), EconomicOperand
information asymmetry, EconomicOperand
moral hazard, EconomicOperand
overview, EconomicOperand
Time-series econometrics, EconomicOperand
cointegrated vector autoregression (CVAR), EconomicOperand
data-coding, EconomicOperand
shareholder protection, EconomicOperand
‘Too-big-to’ problems (TBT), EconomicOperand
bailouts, EconomicOperand
distortion of funding costs, EconomicOperand
structural prudential regulation, EconomicOperand
systemic risk,, EconomicOperand
Trading practices, EconomicOperand
algorithmic trading, EconomicOperand
innovative process, EconomicOperand
regulation after, EconomicOperand
trading practices, EconomicOperand
alternative approaches to regulation, EconomicOperand
regulators, supervisors and self-regulatory organizations, EconomicOperand
rules, norms and standards, EconomicOperand
techniques, strategies and methods, EconomicOperand
efficient capital market hypothesis (ECMH), EconomicOperand
European Union (EU), EconomicOperand
financial innovation, EconomicOperand
new processes, EconomicOperand
high-frequency trading (HFT), EconomicOperand
flawed uses of innovation, EconomicOperand
new processes, EconomicOperand
post-trade transparency requirements, EconomicOperand
regulation after, EconomicOperand
regulatory challenges, EconomicOperand
key distinguishing features, EconomicOperand
key objectives of regulation, EconomicOperand
financial stability, EconomicOperand
investor protection, EconomicOperand
market efficiency , EconomicOperand
OTC trading, EconomicOperand
cause of systemic risk, EconomicOperand
conflicts in clearing and settlement requirements, EconomicOperand
crisis-era imposition of infrastructures, EconomicOperand
EU regulation, EconomicOperand
international regulation, EconomicOperand
link betweenCrash and the s debt crisis, EconomicOperand
mandatory central clearing, EconomicOperand
new margin requirements, EconomicOperand
post-trade transparency requirements, EconomicOperand
regulation after, EconomicOperand
risk to stability, EconomicOperand
transparency requirements, EconomicOperand
US approach, EconomicOperand
regulatory challenges, EconomicOperand
algorithmic trading, EconomicOperand
market fragmentation, EconomicOperand
short selling, EconomicOperand
techniques, strategies and methods of regulation, EconomicOperand
appropriate level of detail, EconomicOperand
business conduct rules, EconomicOperand
enforcement, EconomicOperand
institutionalization, EconomicOperand
taxation, EconomicOperand
transparency, EconomicOperand
underlying rationale for regulation, EconomicOperand
venues, EconomicOperand
defined, EconomicOperand
governance, EconomicOperand
Transaction costs, EconomicOperand
market efficiency, EconomicOperand
reform of FMIs, EconomicOperand
role of legal rules, EconomicOperand
Transparency, EconomicOperand
see also Disclosure, EconomicOperand
basic characteristic of US regulatory system, EconomicOperand
European Union (EU), EconomicOperand
high-frequency trading (HFT), EconomicOperand
