This	B-T2	O	O	
shall	B-C	O	O	
be	I-C	O	O	
deemed	I-C	O	O	
to	I-C	O	O	
be	I-C	O	O	
the	I-C	O	O	
records	I-C	O	O	
and	I-C	O	O	
reports	I-C	O	O	
of	I-C	O	O	
the	I-C	O	O	
investment	I-C	O	O	
adviser	I-C	O	O	
.	O	O	O	
The	B-T3	O	O	
records	I-T3	O	O	
and	I-T3	O	O	
reports	I-T3	O	O	
required	B-A1	O	O	
to	I-A1	O	O	
be	I-A1	O	O	
maintained	I-A1	O	O	
by	I-A1	O	O	
an	I-A1	O	O	
investment	I-A1	O	O	
adviser	I-A1	O	O	
and	I-A1	O	O	
subject	I-A1	O	O	
to	I-A1	O	O	
inspection	I-A1	O	O	
by	I-A1	O	O	
the	I-A1	O	O	
Commission	I-A1	O	O	
under	I-A1	O	O	
this	I-A1	O	O	
subsection	I-A1	O	O	
shall	B-C	O	O	
include	I-C	O	O	
,	I-C	O	O	
for	I-C	B-A1	O	
each	I-C	I-A1	O	
private	I-C	I-A1	B-T1	
fund	I-C	I-A1	I-T1	
advised	I-C	I-A1	B-A2	
by	I-C	I-A1	I-A2	
the	I-C	I-A1	I-A2	
investment	I-C	I-A1	I-A2	
adviser	I-C	I-A1	I-A2	
,	I-C	I-A1	I-A2	
a	I-C	O	O	
description	I-C	O	O	
of	I-C	O	O	
-LRB-	I-C	O	O	
A	I-C	O	O	
-RRB-	I-C	O	O	
the	I-C	O	O	
amount	I-C	O	O	
of	I-C	O	O	
assets	I-C	O	O	
under	I-C	O	O	
management	I-C	O	O	
and	I-C	O	O	
use	I-C	O	O	
of	I-C	O	O	
leverage	I-C	O	O	
,	I-C	O	O	
including	I-C	O	O	
off-balance-sheet	I-C	O	O	
leverage	I-C	O	O	
;	I-C	O	O	
-LRB-	I-C	O	O	
B	I-C	O	O	
-RRB-	I-C	O	O	
counterparty	I-C	O	O	
credit	I-C	O	O	
risk	I-C	O	O	
exposure	I-C	O	O	
;	I-C	O	O	
-LRB-	I-C	O	O	
C	I-C	O	O	
-RRB-	I-C	O	O	
trading	I-C	O	O	
and	I-C	O	O	
investment	I-C	O	O	
positions	I-C	O	O	
;	I-C	O	O	
-LRB-	I-C	O	O	
D	I-C	O	O	
-RRB-	I-C	O	O	
valuation	I-C	O	O	
policies	I-C	O	O	
and	I-C	O	O	
practices	I-C	O	O	
of	I-C	O	O	
the	I-C	O	O	
fund	I-C	O	O	
;	I-C	O	O	
-LRB-	I-C	O	O	
E	I-C	O	O	
-RRB-	I-C	O	O	
types	I-C	O	O	
of	I-C	O	O	
assets	I-C	O	O	
held	I-C	O	O	
;	I-C	O	O	
-LRB-	I-C	O	O	
F	I-C	O	O	
-RRB-	I-C	O	O	
side	I-C	B-T1	O	
arrangements	I-C	I-T1	O	
or	I-C	I-T1	O	
side	I-C	I-T1	O	
letters	I-C	I-T1	O	
,	I-C	I-T1	O	
whereby	I-C	B-A1	O	
certain	I-C	I-A1	O	
investors	I-C	I-A1	O	
in	I-C	I-A1	O	
a	I-C	I-A1	O	
fund	I-C	I-A1	O	
obtain	I-C	I-A1	O	
more	I-C	I-A1	O	
favorable	I-C	I-A1	O	
rights	I-C	I-A1	O	
or	I-C	I-A1	O	
entitlements	I-C	I-A1	O	
than	I-C	I-A1	O	
other	I-C	I-A1	O	
investors	I-C	I-A1	O	
;	I-C	I-A1	O	
-LRB-	I-C	O	O	
G	I-C	O	O	
-RRB-	I-C	O	O	
trading	I-C	O	O	
practices	I-C	O	O	
;	I-C	O	O	
and	I-C	O	O	
-LRB-	I-C	O	O	
H	I-C	O	O	
-RRB-	I-C	O	O	
such	I-C	O	O	
other	I-C	O	O	
information	I-C	O	O	
as	I-C	O	O	
the	I-C	B-T1	O	
Commission	I-C	I-T1	O	
,	I-C	I-T1	O	
in	I-C	B-A1	O	
consultation	I-C	I-A1	O	
with	I-C	I-A1	O	
the	I-C	I-A1	O	
Council	I-C	I-A1	O	
,	I-C	I-A1	O	
determines	I-C	I-A1	O	
is	I-C	I-A1	O	
necessary	I-C	I-A1	O	
and	I-C	I-A1	O	
appropriate	I-C	I-A1	O	
in	I-C	I-A1	O	
the	I-C	I-A1	O	
public	I-C	I-A1	O	
interest	I-C	I-A1	O	
and	I-C	I-A1	O	
for	I-C	I-A1	O	
the	I-C	I-A1	O	
protection	I-C	I-A1	O	
of	I-C	I-A1	O	
investors	I-C	I-A1	O	
or	I-C	I-A1	O	
for	I-C	I-A1	O	
the	I-C	I-A1	O	
assessment	I-C	I-A1	O	
of	I-C	I-A1	O	
systemic	I-C	I-A1	O	
risk	I-C	I-A1	O	
,	I-C	I-A1	O	
which	I-C	I-A1	O	
may	I-C	I-A1	O	
include	I-C	I-A1	O	
the	I-C	I-A1	O	
establishment	I-C	I-A1	O	
of	I-C	I-A1	O	
different	I-C	I-A1	O	
reporting	I-C	I-A1	O	
requirements	I-C	I-A1	O	
for	I-C	I-A1	O	
different	I-C	I-A1	O	
classes	I-C	I-A1	O	
of	I-C	I-A1	O	
fund	I-C	I-A1	O	
advisers	I-C	I-A1	O	
,	I-C	I-A1	O	
based	I-C	I-A1	O	
on	I-C	I-A1	O	
the	I-C	I-A1	O	
type	I-C	I-A1	O	
or	I-C	I-A1	O	
size	I-C	I-A1	O	
of	I-C	I-A1	O	
private	I-C	I-A1	O	
fund	I-C	I-A1	O	
being	I-C	I-A1	O	
advised	I-C	I-A1	O	
.	O	O	O	
An	B-T3	O	O	
investment	I-T3	O	O	
adviser	I-T3	O	O	
registered	B-A1	O	O	
under	I-A1	O	O	
this	I-A1	O	O	
title	I-A1	O	O	
shall	B-C	O	O	
maintain	I-C	O	O	
such	I-C	O	O	
records	I-C	O	O	
of	I-C	O	O	
private	I-C	B-T1	O	
funds	I-C	I-T1	O	
advised	I-C	B-A1	O	
by	I-C	I-A1	O	
the	I-C	I-A1	O	
investment	I-C	I-A1	O	
adviser	I-C	I-A1	O	
for	I-C	O	O	
such	I-C	O	O	
period	I-C	O	O	
or	I-C	O	O	
periods	I-C	O	O	
as	I-C	O	O	
the	I-C	B-T1	O	
Commission	I-C	I-T1	O	
,	I-C	I-T1	O	
by	I-C	B-A1	O	
rule	I-C	I-A1	O	
,	I-C	I-A1	O	
may	I-C	O	O	
prescribe	I-C	O	O	
as	I-C	O	O	
necessary	I-C	O	O	
and	I-C	O	O	
appropriate	I-C	O	O	
in	I-C	O	O	
the	I-C	O	O	
public	I-C	O	O	
interest	I-C	O	O	
and	I-C	O	O	
for	I-C	O	O	
the	I-C	O	O	
protection	I-C	O	O	
of	I-C	O	O	
investors	I-C	O	O	
,	I-C	O	O	
or	I-C	O	O	
for	I-C	O	O	
the	I-C	O	O	
assessment	I-C	O	O	
of	I-C	O	O	
systemic	I-C	O	O	
risk	I-C	O	O	
.	O	O	O	
The	B-T2	O	O	
Commission	I-T2	O	O	
shall	B-C	O	O	
issue	I-C	O	O	
rules	I-C	B-T1	O	
requiring	B-A1	O	O	
each	I-A1	O	O	
investment	I-A1	O	O	
adviser	I-A1	O	O	
to	I-A1	O	O	
a	I-A1	O	O	
private	I-A1	O	O	
fund	I-A1	O	O	
to	I-A1	O	O	
file	I-A1	O	O	
reports	I-A1	B-T1	O	
containing	I-A1	B-A2	O	
such	I-A1	I-A2	O	
information	I-A1	I-A2	O	
as	I-A1	I-A2	O	
the	I-A1	I-A2	O	
Commission	I-A1	I-A2	O	
deems	I-A1	I-A2	O	
necessary	I-A1	I-A2	O	
and	I-A1	I-A2	O	
appropriate	I-A1	I-A2	O	
in	I-A1	I-A2	O	
the	I-A1	I-A2	O	
public	I-A1	I-A2	O	
interest	I-A1	I-A2	O	
and	I-A1	I-A2	O	
for	I-A1	I-A2	O	
the	I-A1	I-A2	O	
protection	I-A1	I-A2	O	
of	I-A1	I-A2	O	
investors	I-A1	I-A2	O	
or	I-A1	I-A2	O	
for	I-A1	I-A2	O	
the	I-A1	I-A2	O	
assessment	I-A1	I-A2	O	
of	I-A1	I-A2	O	
systemic	I-A1	I-A2	O	
risk	I-A1	I-A2	O	
.	O	O	O	
The	B-T2	O	O	
Commission	I-T2	O	O	
-LRB-	B-C	O	O	
i	I-C	O	O	
-RRB-	I-C	O	O	
shall	I-C	O	O	
conduct	I-C	O	O	
periodic	I-C	B-T1	O	
inspections	I-C	I-T1	O	
of	I-C	B-A1	O	
the	I-C	I-A1	O	
records	I-C	I-A1	O	
of	I-C	I-A1	O	
private	I-C	I-A1	B-T1	
funds	I-C	I-A1	I-T1	
maintained	I-C	I-A1	B-A2	
by	I-C	I-A1	I-A2	
an	I-C	I-A1	I-A2	
investment	I-C	I-A1	I-A2	
adviser	I-C	I-A1	I-A2	
registered	I-C	I-A1	O	
under	I-C	I-A1	O	
this	I-C	I-A1	O	
title	I-C	I-A1	O	
in	I-C	I-A1	O	
accordance	I-C	I-A1	O	
with	I-C	I-A1	O	
a	I-C	I-A1	O	
schedule	I-C	I-A1	O	
established	I-C	I-A1	O	
by	I-C	I-A1	O	
the	I-C	I-A1	O	
Commission	I-C	I-A1	O	
;	I-C	I-A1	O	
and	I-C	O	O	
-LRB-	I-C	O	O	
ii	I-C	O	O	
-RRB-	I-C	O	O	
may	I-C	O	O	
conduct	I-C	O	O	
at	I-C	O	O	
any	I-C	O	O	
time	I-C	O	O	
and	I-C	O	O	
from	I-C	O	O	
time	I-C	O	O	
to	I-C	O	O	
time	I-C	O	O	
such	I-C	O	O	
additional	I-C	O	O	
,	I-C	O	O	
special	I-C	O	O	
,	I-C	O	O	
and	I-C	O	O	
other	I-C	B-T1	O	
examinations	I-C	I-T1	O	
as	I-C	B-A1	O	
the	I-C	I-A1	O	
Commission	I-C	I-A1	O	
may	I-C	I-A1	O	
prescribe	I-C	I-A1	O	
as	I-C	I-A1	O	
necessary	I-C	I-A1	O	
and	I-C	I-A1	O	
appropriate	I-C	I-A1	O	
in	I-C	I-A1	O	
the	I-C	I-A1	O	
public	I-C	I-A1	O	
interest	I-C	I-A1	O	
and	I-C	I-A1	O	
for	I-C	I-A1	O	
the	I-C	I-A1	O	
protection	I-C	I-A1	O	
of	I-C	I-A1	O	
investors	I-C	I-A1	O	
,	I-C	I-A1	O	
or	I-C	I-A1	O	
for	I-C	I-A1	O	
the	I-C	I-A1	O	
assessment	I-C	I-A1	O	
of	I-C	I-A1	O	
systemic	I-C	I-A1	O	
risk	I-C	I-A1	O	
.	O	O	O	
An	B-T3	O	O	
investment	I-T3	O	O	
adviser	I-T3	O	O	
registered	B-A1	O	O	
under	I-A1	O	O	
this	I-A1	O	O	
title	I-A1	O	O	
shall	B-C	O	O	
make	I-C	O	O	
available	I-C	O	O	
to	I-C	O	O	
the	I-C	O	O	
Commission	I-C	O	O	
any	I-C	O	O	
copies	I-C	O	O	
or	I-C	O	O	
extracts	I-C	O	O	
from	I-C	O	O	
such	I-C	O	O	
records	I-C	O	O	
as	I-C	O	O	
may	I-C	O	O	
be	I-C	O	O	
prepared	I-C	O	O	
without	I-C	O	O	
undue	I-C	O	O	
effort	I-C	O	O	
,	I-C	O	O	
expense	I-C	O	O	
,	I-C	O	O	
or	I-C	O	O	
delay	I-C	O	O	
,	I-C	O	O	
as	I-C	O	O	
the	I-C	O	O	
Commission	I-C	O	O	
or	I-C	O	O	
its	I-C	O	O	
representatives	I-C	O	O	
may	I-C	O	O	
reasonably	I-C	O	O	
request	I-C	O	O	
.	O	O	O	
The	B-T2	O	O	
Commission	I-T2	O	O	
shall	B-C	O	O	
make	I-C	O	O	
available	I-C	O	O	
to	I-C	O	O	
the	I-C	O	O	
Council	I-C	O	O	
copies	I-C	O	O	
of	I-C	O	O	
all	I-C	B-T1	O	
reports	I-C	I-T1	O	
,	I-C	I-T1	O	
documents	I-C	I-T1	O	
,	I-C	I-T1	O	
records	I-C	I-T1	O	
,	I-C	I-T1	O	
and	I-C	I-T1	O	
information	I-C	I-T1	O	
filed	I-C	B-A1	O	
with	I-C	I-A1	O	
or	I-C	I-A1	O	
provided	I-C	I-A1	O	
to	I-C	I-A1	O	
the	I-C	I-A1	O	
Commission	I-C	I-A1	O	
by	I-C	I-A1	O	
an	I-C	I-A1	O	
investment	I-C	I-A1	O	
adviser	I-C	I-A1	O	
under	I-C	I-A1	O	
this	I-C	I-A1	O	
subsection	I-C	I-A1	O	
as	I-C	I-A1	O	
the	I-C	I-A1	O	
Council	I-C	I-A1	O	
may	I-C	I-A1	O	
consider	I-C	I-A1	O	
necessary	I-C	I-A1	O	
for	I-C	I-A1	O	
the	I-C	I-A1	O	
purpose	I-C	I-A1	O	
of	I-C	I-A1	O	
assessing	I-C	I-A1	O	
the	I-C	I-A1	O	
systemic	I-C	I-A1	O	
risk	I-C	I-A1	O	
posed	I-C	I-A1	O	
by	I-C	I-A1	O	
a	I-C	I-A1	O	
private	I-C	I-A1	O	
fund	I-C	I-A1	O	
.	O	O	O	
The	B-T2	O	O	
Council	I-T2	O	O	
shall	B-C	O	O	
maintain	I-C	O	O	
the	I-C	B-T1	O	
confidentiality	I-C	I-T1	O	
of	I-C	B-A1	O	
information	I-C	I-A1	O	
received	I-C	I-A1	O	
under	I-C	I-A1	O	
this	I-C	I-A1	O	
paragraph	I-C	I-A1	O	
in	I-C	I-A1	O	
all	I-C	I-A1	O	
such	I-C	I-A1	O	
reports	I-C	I-A1	O	
,	I-C	I-A1	O	
documents	I-C	I-A1	O	
,	I-C	I-A1	O	
records	I-C	I-A1	O	
,	I-C	I-A1	O	
and	I-C	I-A1	O	
information	I-C	I-A1	O	
,	I-C	I-A1	O	
in	B-A1	O	O	
a	I-A1	O	O	
manner	I-A1	O	O	
consistent	I-A1	O	O	
with	I-A1	O	O	
the	I-A1	O	O	
level	I-A1	O	O	
of	I-A1	O	O	
confidentiality	I-A1	O	O	
established	I-A1	O	O	
for	I-A1	O	O	
the	I-A1	O	O	
Commission	I-A1	O	O	
pursuant	I-A1	O	O	
to	I-A1	O	O	
paragraph	I-A1	O	O	
-LRB-	I-A1	O	O	
8	I-A1	O	O	
-RRB-	I-A1	O	O	
.	O	O	O	
The	B-T2	O	O	
Council	I-T2	O	O	
shall	B-C	O	O	
be	I-C	O	O	
exempt	I-C	O	O	
from	I-C	O	O	
section	I-C	O	O	
552	I-C	O	O	
of	I-C	O	O	
title	I-C	O	O	
5	I-C	O	O	
,	I-C	O	O	
United	I-C	O	O	
States	I-C	O	O	
Code	I-C	O	O	
,	I-C	O	O	
with	B-A1	O	O	
respect	I-A1	O	O	
to	I-A1	O	O	
any	I-A1	O	O	
information	I-A1	O	O	
in	I-A1	O	O	
any	I-A1	B-T1	O	
report	I-A1	I-T1	O	
,	I-A1	I-T1	O	
document	I-A1	I-T1	O	
,	I-A1	I-T1	O	
record	I-A1	I-T1	O	
,	I-A1	I-T1	O	
or	I-A1	I-T1	O	
information	I-A1	I-T1	O	
made	I-A1	B-A2	O	
available	I-A1	I-A2	O	
,	I-A1	I-A2	O	
to	I-A1	I-A2	O	
the	I-A1	I-A2	O	
Council	I-A1	I-A2	O	
under	I-A1	I-A2	O	
this	I-A1	I-A2	O	
subsection	I-A1	I-A2	O	
.	O	O	O	
Notwithstanding	I-A1	O	O	
any	I-A1	O	O	
other	I-A1	O	O	
provision	I-A1	O	O	
of	I-A1	O	O	
law	I-A1	O	O	
,	I-A1	O	O	
the	B-T2	O	O	
Commission	I-T2	O	O	
may	B-C	O	O	
not	I-C	O	O	
be	I-C	O	O	
compelled	I-C	O	O	
to	I-C	O	O	
disclose	I-C	O	O	
any	I-C	B-T1	O	
report	I-C	I-T1	O	
or	I-C	I-T1	O	
information	I-C	I-T1	O	
contained	I-C	B-A1	O	
therein	I-C	I-A1	O	
required	I-C	I-A1	O	
to	I-C	I-A1	O	
be	I-C	I-A1	O	
filed	I-C	I-A1	O	
with	I-C	I-A1	O	
the	I-C	I-A1	O	
Commission	I-C	I-A1	O	
under	I-C	I-A1	O	
this	I-C	I-A1	O	
subsection	I-C	I-A1	O	
,	I-C	I-A1	O	
except	I-C	O	O	
that	I-C	O	O	
nothing	I-C	O	O	
in	I-C	O	O	
this	I-C	O	O	
subsection	I-C	O	O	
authorizes	I-C	O	O	
the	B-T2	O	O	
Commission	I-T2	O	O	
-LRB-	B-C	O	O	
A	I-C	O	O	
-RRB-	I-C	O	O	
to	I-C	O	O	
withhold	I-C	O	O	
information	I-C	O	O	
from	I-C	O	O	
Congress	I-C	O	O	
,	I-C	O	O	
upon	I-C	O	O	
an	I-C	O	O	
agreement	I-C	O	O	
of	I-C	O	O	
confidentiality	I-C	O	O	
;	I-C	O	O	
or	I-C	O	O	
-LRB-	I-C	O	O	
B	I-C	O	O	
-RRB-	I-C	O	O	
prevent	I-C	O	O	
the	I-C	O	O	
Commission	I-C	O	O	
from	I-C	O	O	
complying	I-C	O	O	
with	I-C	O	O	
-LRB-	I-C	O	O	
i	I-C	O	O	
-RRB-	I-C	O	O	
a	I-C	O	O	
request	I-C	O	O	
for	I-C	O	O	
information	I-C	O	O	
from	I-C	O	O	
any	I-C	B-T1	O	
other	I-C	I-T1	O	
Federal	I-C	I-T1	O	
department	I-C	I-T1	O	
or	I-C	I-T1	O	
agency	I-C	I-T1	O	
or	I-C	I-T1	O	
any	I-C	I-T1	O	
self-	I-C	I-T1	O	
regulatory	I-C	I-T1	O	
organization	I-C	I-T1	O	
requesting	I-C	B-A1	O	
the	I-C	I-A1	O	
report	I-C	I-A1	O	
or	I-C	I-A1	O	
information	I-C	I-A1	O	
for	I-C	I-A1	O	
purposes	I-C	I-A1	O	
within	I-C	I-A1	O	
the	I-C	I-A1	O	
scope	I-C	I-A1	O	
of	I-C	I-A1	O	
its	I-C	I-A1	O	
jurisdiction	I-C	I-A1	O	
;	I-C	I-A1	O	
or	I-C	O	O	
-LRB-	I-C	O	O	
ii	I-C	O	O	
-RRB-	I-C	O	O	
an	I-C	O	O	
order	I-C	O	O	
of	I-C	O	O	
a	I-C	O	O	
court	I-C	O	O	
of	I-C	O	O	
the	I-C	O	O	
United	I-C	O	O	
States	I-C	O	O	
in	I-C	O	O	
an	I-C	B-T1	O	
action	I-C	I-T1	O	
brought	I-C	B-A1	O	
by	I-C	I-A1	O	
the	I-C	I-A1	O	
United	I-C	I-A1	O	
States	I-C	I-A1	O	
or	I-C	I-A1	O	
the	I-C	I-A1	O	
Commission	I-C	I-A1	O	
.	O	O	O	
Any	B-T3	O	O	
department	I-T3	O	O	
,	I-T3	O	O	
agency	I-T3	O	O	
,	I-T3	O	O	
or	I-T3	O	O	
self-regulatory	I-T3	O	O	
organization	I-T3	O	O	
that	B-A1	O	O	
receives	I-A1	O	O	
reports	I-A1	O	O	
or	I-A1	O	O	
information	I-A1	O	O	
from	I-A1	O	O	
the	I-A1	O	O	
Commission	I-A1	O	O	
under	I-A1	O	O	
this	I-A1	O	O	
subsection	I-A1	O	O	
shall	B-C	O	O	
maintain	I-C	O	O	
the	I-C	O	O	
confidentiality	I-C	O	O	
of	I-C	O	O	
such	I-C	O	O	
reports	I-C	O	O	
,	I-C	O	O	
documents	I-C	O	O	
,	I-C	O	O	
records	I-C	O	O	
,	I-C	O	O	
and	I-C	O	O	
information	I-C	O	O	
in	I-C	O	O	
a	I-C	O	O	
manner	I-C	O	O	
consistent	I-C	O	O	
with	I-C	O	O	
the	I-C	O	O	
level	I-C	B-T1	O	
of	I-C	I-T1	O	
confidentiality	I-C	I-T1	O	
established	I-C	B-A1	O	
for	I-C	I-A1	O	
the	I-C	I-A1	O	
Commission	I-C	I-A1	O	
under	I-C	I-A1	O	
paragraph	I-C	I-A1	O	
-LRB-	I-C	I-A1	O	
8	I-C	I-A1	O	
-RRB-	I-C	I-A1	O	
.	O	O	O	
The	B-T3	O	O	
Commission	I-T3	O	O	
,	I-T3	O	O	
the	I-T3	O	O	
Council	I-T3	O	O	
,	I-T3	O	O	
and	I-T3	O	O	
any	I-T3	O	O	
other	I-T3	O	O	
department	I-T3	O	O	
,	I-T3	O	O	
agency	I-T3	O	O	
,	I-T3	O	O	
or	I-T3	O	O	
self-regulatory	I-T3	O	O	
organization	I-T3	O	O	
that	B-A1	O	O	
receives	I-A1	O	O	
information	I-A1	O	O	
,	I-A1	O	O	
reports	I-A1	O	O	
,	I-A1	O	O	
documents	I-A1	O	O	
,	I-A1	O	O	
records	I-A1	O	O	
,	I-A1	O	O	
or	I-A1	O	O	
information	I-A1	O	O	
from	I-A1	O	O	
the	I-A1	O	O	
Commission	I-A1	O	O	
under	I-A1	O	O	
this	I-A1	O	O	
subsection	I-A1	O	O	
,	I-A1	O	O	
shall	B-C	O	O	
be	I-C	O	O	
exempt	I-C	O	O	
from	I-C	O	O	
the	I-C	B-T1	O	
provisions	I-C	I-T1	O	
of	I-C	B-A1	O	
section	I-C	I-A1	O	
552	I-C	I-A1	O	
of	I-C	I-A1	O	
title	I-C	I-A1	O	
5	I-C	I-A1	O	
,	I-C	I-A1	O	
United	I-C	I-A1	O	
States	I-C	I-A1	O	
Code	I-C	I-A1	O	
,	I-C	I-A1	O	
with	B-A1	O	O	
respect	I-A1	O	O	
to	I-A1	O	O	
any	I-A1	O	O	
such	I-A1	O	O	
report	I-A1	O	O	
,	I-A1	O	O	
document	I-A1	O	O	
,	I-A1	O	O	
record	I-A1	O	O	
,	I-A1	O	O	
or	I-A1	O	O	
information	I-A1	O	O	
.	O	O	O	
Any	B-T3	O	O	
proprietary	I-T3	O	O	
information	I-T3	O	O	
of	I-T3	O	O	
an	I-T3	O	O	
investment	I-T3	O	O	
adviser	I-T3	O	O	
ascertained	B-A1	O	O	
by	I-A1	O	O	
the	I-A1	O	O	
Commission	I-A1	O	O	
from	I-A1	O	O	
any	I-A1	B-T1	O	
report	I-A1	I-T1	O	
required	I-A1	B-A2	O	
to	I-A1	I-A2	O	
be	I-A1	I-A2	O	
filed	I-A1	I-A2	O	
with	I-A1	I-A2	O	
the	I-A1	I-A2	O	
Commission	I-A1	I-A2	O	
pursuant	I-A1	I-A2	O	
to	I-A1	I-A2	O	
this	I-A1	I-A2	O	
subsection	I-A1	I-A2	O	
shall	B-C	O	O	
be	I-C	O	O	
subject	I-C	O	O	
to	I-C	O	O	
the	I-C	O	O	
same	I-C	O	O	
limitations	I-C	O	O	
on	I-C	O	O	
public	I-C	O	O	
disclosure	I-C	O	O	
as	I-C	O	O	
any	I-C	B-T1	O	
facts	I-C	I-T1	O	
ascertained	I-C	B-A1	O	
during	I-C	I-A1	O	
an	I-C	I-A1	O	
examination	I-C	I-A1	O	
,	I-C	I-A1	O	
as	B-A1	O	O	
provided	I-A1	O	O	
by	I-A1	O	O	
section	I-A1	O	O	
210	I-A1	O	O	
-LRB-	I-A1	O	O	
b	I-A1	O	O	
-RRB-	I-A1	O	O	
of	I-A1	O	O	
this	I-A1	O	O	
title	I-A1	O	O	
.	O	O	O	
For	I-A1	O	O	
purposes	I-A1	O	O	
of	I-A1	O	O	
this	I-A1	O	O	
paragraph	I-A1	O	O	
,	I-A1	O	O	
proprietary	B-EL	O	O	
information	I-EL	O	O	
includes	B-ER	O	O	
sensitive	I-ER	B-T1	O	
,	I-ER	I-T1	O	
non-public	I-ER	I-T1	O	
information	I-ER	I-T1	O	
regarding	I-ER	B-A1	O	
-LRB-	I-ER	I-A1	O	
i	I-ER	I-A1	O	
-RRB-	I-ER	I-A1	O	
the	I-ER	I-A1	O	
investment	I-ER	I-A1	O	
or	I-ER	I-A1	O	
trading	I-ER	I-A1	O	
strategies	I-ER	I-A1	O	
of	I-ER	I-A1	O	
the	I-ER	I-A1	O	
investment	I-ER	I-A1	O	
adviser	I-ER	I-A1	O	
;	I-ER	I-A1	O	
-LRB-	I-ER	I-A1	O	
ii	I-ER	I-A1	O	
-RRB-	I-ER	I-A1	O	
analytical	I-ER	I-A1	O	
or	I-ER	I-A1	O	
research	I-ER	I-A1	O	
methodologies	I-ER	I-A1	O	
;	I-ER	I-A1	O	
-LRB-	I-ER	I-A1	O	
iii	I-ER	I-A1	O	
-RRB-	I-ER	I-A1	O	
trading	I-ER	I-A1	O	
data	I-ER	I-A1	O	
;	I-ER	I-A1	O	
-LRB-	I-ER	I-A1	O	
iv	I-ER	I-A1	O	
-RRB-	I-ER	I-A1	O	
computer	I-ER	I-A1	O	
hardware	I-ER	I-A1	O	
or	I-ER	I-A1	O	
software	I-ER	I-A1	B-T1	
containing	I-ER	I-A1	B-A2	
intellectual	I-ER	I-A1	I-A2	
property	I-ER	I-A1	I-A2	
;	I-ER	I-A1	I-A2	
and	I-ER	I-A1	O	
-LRB-	I-ER	I-A1	O	
v	I-ER	I-A1	O	
-RRB-	I-ER	I-A1	O	
any	I-ER	I-A1	B-T1	
additional	I-ER	I-A1	I-T1	
information	I-ER	I-A1	I-T1	
that	I-ER	I-A1	B-A2	
the	I-ER	I-A1	I-A2	
Commission	I-ER	I-A1	I-A2	
determines	I-ER	I-A1	I-A2	
to	I-ER	I-A1	I-A2	
be	I-ER	I-A1	I-A2	
proprietary	I-ER	I-A1	I-A2	
.	O	O	O	
The	B-T2	O	O	
Commission	I-T2	O	O	
shall	B-C	O	O	
report	I-C	O	O	
annually	I-C	O	O	
to	I-C	O	O	
Congress	I-C	O	O	
on	I-C	O	O	
how	I-C	O	O	
the	I-C	O	O	
Commission	I-C	O	O	
has	I-C	O	O	
used	I-C	O	O	
the	I-C	B-T1	O	
data	I-C	I-T1	O	
collected	I-C	B-A1	O	
pursuant	I-C	I-A1	O	
to	I-C	I-A1	O	
this	I-C	I-A1	O	
subsection	I-C	I-A1	O	
to	I-C	O	O	
monitor	I-C	O	O	
the	I-C	O	O	
markets	I-C	O	O	
for	I-C	O	O	
the	I-C	O	O	
protection	I-C	O	O	
of	I-C	O	O	
investors	I-C	O	O	
and	I-C	O	O	
the	I-C	O	O	
integrity	I-C	O	O	
of	I-C	O	O	
the	I-C	O	O	
markets	I-C	O	O	
.	O	O	O	
Section	B-T3	O	O	
210	I-T3	O	O	
-LRB-	I-T3	O	O	
c	I-T3	O	O	
-RRB-	I-T3	O	O	
of	B-A1	O	O	
the	I-A1	O	O	
Investment	I-A1	O	O	
Advisers	I-A1	O	O	
Act	I-A1	O	O	
of	I-A1	O	O	
1940	I-A1	O	O	
-LRB-	I-A1	O	O	
15	I-A1	O	O	
U.S.C.	I-A1	O	O	
80b-10	I-A1	O	O	
-LRB-	I-A1	O	O	
c	I-A1	O	O	
-RRB-	I-A1	O	O	
-RRB-	I-A1	O	O	
is	B-C	O	O	
amended	I-C	O	O	
by	B-A1	O	O	
inserting	I-A1	O	O	
before	I-A1	O	O	
the	I-A1	O	O	
period	I-A1	O	O	
at	I-A1	O	O	
the	I-A1	O	O	
end	I-A1	O	O	
the	I-A1	O	O	
following	I-A1	O	O	
:	I-A1	O	O	
or	I-A1	O	O	
for	I-A1	O	O	
purposes	I-A1	O	O	
of	I-A1	O	O	
assessment	I-A1	O	O	
of	I-A1	O	O	
potential	I-A1	O	O	
systemic	I-A1	O	O	
risk	I-A1	O	O	
.	O	O	O	
Section	B-T3	O	O	
211	I-T3	O	O	
of	B-A1	O	O	
the	I-A1	O	O	
Investment	I-A1	O	O	
Advisers	I-A1	O	O	
Act	I-A1	O	O	
of	I-A1	O	O	
1940	I-A1	O	O	
-LRB-	I-A1	O	O	
15	I-A1	O	O	
U.S.C.	I-A1	O	O	
80b-	I-A1	O	O	
11	I-A1	O	O	
-RRB-	I-A1	O	O	
is	B-C	O	O	
amended	I-C	O	O	
-LRB-	B-A1	O	O	
1	I-A1	O	O	
-RRB-	I-A1	O	O	
in	I-A1	O	O	
subsection	I-A1	O	O	
-LRB-	I-A1	O	O	
a	I-A1	O	O	
-RRB-	I-A1	O	O	
,	I-A1	O	O	
by	I-A1	O	O	
inserting	I-A1	O	O	
before	I-A1	B-A2	O	
